facility,confirmed,presumed,total,name,formatted_address,county,lat,lng,place_id,results
DAUGHTERS OF SARAH NURSING CENTER,1,0,10,Daughters of Sarah,"180 Washington Ave Ext, Albany, NY 12203, United States",Albany,42.698561,-73.8535868,ChIJAxb5H7h03okRU1JBRVlnW0g,1
HUDSON PARK REHABILITATION AND NURSING CENTER,1,0,10,Hudson Park Rehabilitation and Nursing Center,"325 Northern Blvd, Albany, NY 12204, United States",Albany,42.6718761,-73.753423,ChIJTx16L9cL3okRJfgzFsbHCG4,1
OUR LADY OF MERCY LIFE CENTER,8,0,80,Our Lady of Mercy Life Center,"2 Mercy Care Ln, Guilderland, NY 12084, United States",Albany,42.7001905,-73.906998,ChIJ7WziVEF03okREkdHL8NJaSc,1
SHAKER PLACE REHABILITATION AND NURSING CENTER,3,0,30,Shaker Place Rehabilitation & Nursing Center,"100 Heritage Ln, Albany, NY 12211, United States",Albany,42.7434001,-73.81366919999999,ChIJsSCz36QN3okRU7VcXH2hUJ0,1
TERESIAN HOUSE NURSING HOME CO INC,13,0,130,Teresian House Center for the Elderly,"200 Washington Ave Ext, Albany, NY 12203, United States",Albany,42.701733,-73.856482,ChIJPRJIdbl03okRl5c4qYkb7Ek,1
THE GRAND REHABILITATION AND NURSING AT GUILDERLAND,3,0,30,The Grand Rehabilitation and Nursing at Guilderland,"428 NY-146, Altamont, NY 12009, United States",Albany,42.701198,-73.9608774,ChIJd2q50PJ23okRos5VyXafz60,1
BAINBRIDGE NURSING & REHABILITATION CENTER,4,6,46,Bainbridge Nursing,"3518 Bainbridge Ave, The Bronx, NY 10467, United States",Bronx,40.881581,-73.87774399999999,ChIJ7w1ijg3zwokRlbWxhfC3iig,1
BETH ABRAHAM CENTER FOR REHABILITATION AND NURSING,6,15,615,Beth Abraham Center for Rehabilitation and Nursing,"612 Allerton Ave, The Bronx, NY 10467, United States",Bronx,40.8646716,-73.8699773,ChIJG6DBY2bzwokRcaFzBCeK8BU,1
BRONX CENTER FOR REHABILITATION & HEALTH CARE,5,13,513,Bronx Center for Rehabilitation and Nursing,"1010 Underhill Ave, The Bronx, NY 10472, United States",Bronx,40.826735,-73.860866,ChIJ41hOSsP0wokRS54GCXZVMoI,1
BRONX GARDENS REHABILITATION AND NURSING CENTER,4,14,414,Bronx Gardens Rehabilitation & Nursing Center,"2175 Quarry Rd, The Bronx, NY 10457, United States",Bronx,40.852636,-73.89135739999999,ChIJyy9DoX30wokR9ytevrhiXwY,1
BRONX PARK REHABILITATION & NURSING CENTER,6,14,614,Bronx Park Rehabilitation,"3845 Carpenter Ave, The Bronx, NY 10467, United States",Bronx,40.8858101,-73.8651312,ChIJZR6QVj3zwokRjy60xXk-qEY,1
BRONXCARE SPECIAL CARE CENTER,7,1,71,BronxCare Special Care Center,"1265 Fulton Ave, The Bronx, NY 10456, United States",Bronx,40.8313502,-73.90377339999999,ChIJY7esc0_0wokRRkP4JiTiwIo,1
"CONCOURSE REHABILITATION AND NURSING CENTER, INC",7,16,716,Concourse Rehab & Nursing Center,"1072 Grand Concourse, The Bronx, NY 10456, United States",Bronx,40.8317016,-73.9196123,ChIJww7lOzH0wokRLRsGgIPl7S0,1
EAST HAVEN NURSING & REHABILITATION CENTER,6,7,67,East Haven Nursing And Rehabilitation Center,"2323 Eastchester Rd #27, The Bronx, NY 10469, United States",Bronx,40.8601913,-73.8434241,ChIJPRD7FlPzwokRYdUZDbbtwas,1
EASTCHESTER REHABILITATION AND HEALTH CARE CENTER,0,2,02,Eastchester Rehab & Health,"2700 Eastchester Rd, The Bronx, NY 10469, United States",Bronx,40.8656559,-73.8427793,ChIJMSFjJk3zwokRgToBYr6ExOE,1
FIELDSTON LODGE CARE CENTER,1,14,114,Fieldstone Lodge,"666 Kappock St, The Bronx, NY 10463, United States",Bronx,40.8803658,-73.9189894,ChIJJzcuXenzwokRBrW61hBREWc,1
FORDHAM NURSING AND REHABILITATION CENTER,2,0,20,Fordham Nursing and Rehabilitation Center,"2678 Kingsbridge Terrace, The Bronx, NY 10463, United States",Bronx,40.8704379,-73.9040188,ChIJWyaTYo7zwokRhVJNb3rWGJ4,1
GOLD CREST CARE CENTER,3,3,33,Gold Crest Care Center,"2316 Bruner Ave, The Bronx, NY 10469, United States",Bronx,40.859312,-73.8331516,ChIJoRPZ_a6MwokRJSMPjFf2AdM,1
GRAND MANOR NURSING & REHABILITATION CENTER,3,0,30,Grand Manor Nursing & Rehabilitation Center,"700 White Plains Rd, The Bronx, NY 10473, United States",Bronx,40.820352,-73.857407,ChIJ4UXQcdn0wokRjyOCa-m2O84,1
HEBREW HOME FOR THE AGED AT RIVERDALE,10,8,108,The Hebrew Home at Riverdale by RiverSpring Health,"5901 Palisade Ave, The Bronx, NY 10471, United States",Bronx,40.9091633,-73.90886789999999,ChIJdUf0D0nywokRfSsgKqqM_Ng,1
HUDSON POINTE AT RIVERDALE CENTER FOR NURSING AND,3,11,311,Hudson Pointe at Riverdale Center for Nursing and Rehabilitation,"3220 Henry Hudson Pkwy, The Bronx, NY 10463, United States",Bronx,40.884638,-73.913989,ChIJr8rwP8DzwokRPpBZCWSpfsc,1
KINGS HARBOR MULTICARE CENTER,48,8,488,Kings Harbor Multicare Center,"2000 E Gun Hill Rd, The Bronx, NY 10469, United States",Bronx,40.8604455,-73.8301616,ChIJQ7XAWaWMwokRTc0FFOQLUTY,1
LACONIA NURSING HOME,0,8,08,Laconia Nursing Home,"1050 E 230th St, The Bronx, NY 10466, United States",Bronx,40.887625,-73.848219,ChIJg0gRoi7zwokRfbjH3wZQD9I,1
MANHATTANVILLE HEALTH CARE CENTER,4,1,41,Manhattanville Health Care Center,"311 W 231st St, The Bronx, NY 10463, United States",Bronx,40.8812431,-73.9086923,ChIJzbXVTY7zwokRuV0M5PU5wT8,1
METHODIST HOME FOR NURSING AND REHABILITATION,10,0,100,Methodist Home Nursing and Rehabilitation,"4499 Manhattan College Pkwy, The Bronx, NY 10471, United States",Bronx,40.8904619,-73.9031434,ChIJ97bOmbrzwokRr6z-Sn2zpq0,1
MORNINGSIDE NURSING AND REHABILITATION CENTER,5,11,511,Morningside Nursing and Rehabilitation Center,"1000 Pelham Pkwy S, The Bronx, NY 10461, United States",Bronx,40.8565417,-73.85916739999999,ChIJm9ZNrVjzwokRdEYNLB4NNXc,1
MORRIS PARK REHABILITATION AND NURSING CENTER,3,20,320,Morris Park Rehabilitation & Nursing Center,"1235 Pelham Pkwy N, The Bronx, NY 10469, United States",Bronx,40.8587593,-73.8514993,ChIJNaZyPVfzwokRJTcBuWjTVzY,1
MOSHOLU PARKWAY NURSING & REHABILITATION CENTER,0,18,018,Mosholu Parkway Nursing & Rehab Center,"3356 Perry Ave, The Bronx, NY 10467, United States",Bronx,40.8785512,-73.8743837,ChIJ_6S12RLzwokRs5j_e4tpTd0,1
PARK GARDENS REHABILITATION & NURSING CENTER LLC,4,2,42,Park Gardens Rehabilitation & Nursing Center,"6585 Broadway, The Bronx, NY 10471, United States",Bronx,40.9081267,-73.8967791,ChIJAzwbHVHywokR26NjMXprfEs,1
PELHAM PARKWAY NURSING CARE AND REHABILITATION,2,11,211,Pelham Parkway Nursing Home,"2401 Laconia Ave, The Bronx, NY 10469, United States",Bronx,40.8613991,-73.85621909999999,ChIJfan-NFrzwokRXPWxcqZtm7I,1
PINNACLE MULTICARE NURSING AND REHABILITATION CENTER,1,0,10,Pinnacle Multicare Nursing & Rehabilitation Center,"801 Co Op City Blvd, The Bronx, NY 10475, United States",Bronx,40.879521,-73.8291328,ChIJ4XfN2xONwokRWxT1glp3DO0,1
"PROVIDENCE REST, INC.",7,10,710,Providence Rest,"3304 Waterbury Ave, The Bronx, NY 10465, United States",Bronx,40.837299,-73.8171856,ChIJJb56ekKLwokRZPPGfTphqRE,1
REBEKAH REHAB AND EXTENDED CARE CENTER,1,19,119,Rebekah Rehab Extended Care Center,"1072 Havemeyer Ave, The Bronx, NY 10462, United States",Bronx,40.8306049,-73.8469594,ChIJ6SEj-cv0wokRt9JqK5682ts,1
REGEIS CARE CENTER,3,5,35,Regeis Care Center,"3200 Baychester Ave, The Bronx, NY 10475, United States",Bronx,40.8772008,-73.8355924,ChIJsXTRrM6MwokROhJztwGSJw0,1
RIVERDALE NURSING HOME,1,2,12,Riverdale Nursing Home,"641 W 230th St, The Bronx, NY 10463, United States",Bronx,40.88246150000001,-73.9150062,ChIJneJi8-rzwokRcXywD24zztU,2
SCHERVIER NURSING CARE CENTER,4,36,436,Schervier Rehabilitation and Nursing Center,"2975 Independence Ave, The Bronx, NY 10463, United States",Bronx,40.8832253,-73.9187839,ChIJ2eDiKurzwokRH3ukw9V9Yog,1
SPLIT ROCK REHABILITATION AND HEALTH CARE CENTER,4,8,48,Split Rock Rehabilitation and Health Care Center,"3525 Baychester Ave, The Bronx, NY 10466, United States",Bronx,40.881943,-73.839561,ChIJZedQcM2MwokR_a1qSv7UuLg,1
ST PATRICKS HOME,21,14,2114,St. Patrick's Home Rehabilitation and Health Care,"66 Van Cortlandt Park S #3102, The Bronx, NY 10463, United States",Bronx,40.8841404,-73.8879692,ChIJTYcUDwrzwokRf8swglqw1Cs,1
ST VINCENT DEPAUL RESIDENCE,20,0,200,St Vincent De Paul Nursing Home,"900 Intervale Ave #4240, The Bronx, NY 10459, United States",Bronx,40.8193468,-73.8958521,ChIJpY7QZqz1wokRVrTAiGvN0XI,1
THE CITADEL REHAB AND NURSING CENTER AT KINGSBRIDGE,3,48,348,Citadel Rehabilitation and Nursing Center at Kingsbridge,"3400 Cannon Pl, The Bronx, NY 10463, United States",Bronx,40.88042370000001,-73.89848049999999,ChIJq6eBepjzwokRnveKq_XLBpU,1
THE PLAZA REHAB AND NURSING CENTER,9,49,949,The Plaza Rehabilitation and Nursing Center,"100 W Kingsbridge Rd, The Bronx, NY 10468, United States",Bronx,40.86833670000001,-73.9021616,ChIJs_TVao_zwokRmf8t9zpS_vQ,1
THROGS NECK REHABILITATION & NURSING CENTER,1,34,134,Throgs Neck Rehabilitation & Nursing Center,"707 Throgs Neck Expy, The Bronx, NY 10465, United States",Bronx,40.8282918,-73.819114,ChIJhUsCzj-LwokRbbpZXLpTsX8,1
TRIBORO CENTER FOR REHABILITATION AND NURSING,2,12,212,Triboro Center,"1160 Teller Ave, The Bronx, NY 10456, United States",Bronx,40.8313985,-73.91186619999999,ChIJx-KX1En0wokRxc1hmVGNE40,1
UNIVERSITY CENTER FOR REHABILITATION AND NURSING,1,2,12,University Nursing Home,"2505 Grand Ave, The Bronx, NY 10468, United States",Bronx,40.864844,-73.90192900000001,ChIJKVOLjIjzwokRtllEOcWGTfw,1
WILLIAMSBRIDGE CENTER FOR REHABILITATION AND NURSING,0,1,01,Williamsbridge Center for Rehabilitation and Nursing,"1540 Tomlinson Ave, The Bronx, NY 10461, United States",Bronx,40.8458445,-73.8485685,ChIJWdivEq70wokRXxIssTi9oR8,1
